+-------------------------------------------------------+
|                       Zipf's law                      |
+----------------------------+-------+-------+----------+
|            word            |  rank | count | constant |
+----------------------------+-------+-------+----------+
|             de             |   1   |  5648 |   5648   |
|             la             |   2   |  3217 |   6434   |
|             et             |   3   |  3117 |   9351   |
|             le             |   4   |  2991 |  11964   |
|             à              |   5   |  2551 |  12755   |
|            que             |   6   |  1681 |  10086   |
|             en             |   7   |  1646 |  11522   |
|            les             |   8   |  1606 |  12848   |
|             un             |   9   |  1422 |  12798   |
|            des             |   10  |  1299 |  12990   |
|             il             |   11  |  1294 |  14234   |
|             du             |   12  |  1157 |  13884   |
|            qui             |   13  |  1094 |  14222   |
|            vous            |   14  |  1080 |  15120   |
|            une             |   15  |  1035 |  15525   |
|             je             |   16  |  931  |  14896   |
|            dans            |   17  |  889  |  15113   |
|             ce             |   18  |  764  |  13752   |
|            son             |   19  |  747  |  14193   |
|            par             |   20  |  747  |  14940   |
|            pour            |   21  |  734  |  15414   |
|            est             |   22  |  725  |  15950   |
|             au             |   23  |  725  |  16675   |
|            sur             |   24  |  725  |  17400   |
|             ne             |   25  |  710  |  17750   |
|            pas             |   26  |  706  |  18356   |
|             se             |   27  |  698  |  18846   |
|           dantès           |   28  |  667  |  18676   |
|            plus            |   29  |  663  |  19227   |
|            lui             |   30  |  555  |  16650   |
|            mais            |   31  |  553  |  17143   |
|            dit             |   32  |  542  |  17344   |
|           comme            |   33  |  504  |  16632   |
|            avec            |   34  |  502  |  17068   |
|             sa             |   35  |  495  |  17325   |
|           cette            |   36  |  459  |  16524   |
|           avait            |   37  |  414  |  15318   |
|            tout            |   38  |  413  |  15694   |
|           qu’il            |   39  |  402  |  15678   |
|           était            |   40  |  393  |  15720   |
|             a              |   41  |  392  |  16072   |
|            bien            |   42  |  365  |  15330   |
|             si             |   43  |  355  |  15265   |
|             ou             |   44  |  339  |  14916   |
|             me             |   45  |  319  |  14355   |
|            ses             |   46  |  314  |  14444   |
|            mon             |   47  |  312  |  14664   |
|            sont            |   48  |  303  |  14544   |
|           c’est            |   49  |  288  |  14112   |
|            ces             |   50  |  279  |  13950   |
|            nous            |   51  |  273  |  13923   |
|             on             |   52  |  251  |  13052   |
|         villefort          |   53  |  251  |  13303   |
|           homme            |   54  |  249  |  13446   |
|            deux            |   55  |  239  |  13145   |
|            donc            |   56  |  239  |  13384   |
|            fait            |   57  |  235  |  13395   |
|         wikipédia          |   58  |  221  |  12818   |
|          monsieur          |   59  |  219  |  12921   |
|          système           |   60  |  214  |  12840   |
|             où             |   61  |  202  |  12322   |
|            même            |   62  |  198  |  12276   |
|            moi             |   63  |  195  |  12285   |
|            aux             |   64  |  194  |  12416   |
|           votre            |   65  |  189  |  12285   |
|            été             |   66  |  184  |  12144   |
|          solaire           |   67  |  182  |  12194   |
|           alors            |   68  |  181  |  12308   |
|            d’un            |   69  |  180  |  12420   |
|            oui             |   70  |  180  |  12600   |
|            sans            |   71  |  179  |  12709   |
|           faire            |   72  |  176  |  12672   |
|           edmond           |   73  |  172  |  12556   |
|           soleil           |   74  |  170  |  12580   |
|            cela            |   75  |  161  |  12075   |
|            dont            |   76  |  161  |  12236   |
|           jeune            |   77  |  161  |  12397   |
|            leur            |   78  |  160  |  12480   |
|             y              |   79  |  157  |  12403   |
|            être            |   80  |  157  |  12560   |
|           encore           |   81  |  157  |  12717   |
|            peu             |   82  |  154  |  12628   |
